เล่ม,ช่วงตอน,หน้าเนื้อหา,กระดาษเนื้อใน,ความหนาสัน_มม,ขนาดไฟล์ปก_มม,ไฟล์
1,1-47,192,80 แกรม,9.6,311.6 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_01_สัน_80แกรม.pdf
2,48-94,222,80 แกรม,11.1,313.1 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_02_สัน_80แกรม.pdf
3,95-142,290,80 แกรม,14.5,316.5 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_03_สัน_80แกรม.pdf
4,143-189,360,80 แกรม,18.0,320.0 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_04_สัน_80แกรม.pdf
5,190-237,434,80 แกรม,21.7,323.7 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_05_สัน_80แกรม.pdf
6,238-284,284,80 แกรม,14.2,316.2 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_06_สัน_80แกรม.pdf
7,285-332,303,80 แกรม,15.2,317.2 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_07_สัน_80แกรม.pdf
8,333-379,303,80 แกรม,15.2,317.2 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_08_สัน_80แกรม.pdf
9,380-427,307,80 แกรม,15.4,317.4 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_09_สัน_80แกรม.pdf
10,428-474,282,80 แกรม,14.1,316.1 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_10_สัน_80แกรม.pdf
11,475-522,287,80 แกรม,14.4,316.4 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_11_สัน_80แกรม.pdf
12,523-569,295,80 แกรม,14.8,316.8 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_12_สัน_80แกรม.pdf
13,570-616,306,80 แกรม,15.3,317.3 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_13_สัน_80แกรม.pdf
14,617-664,303,80 แกรม,15.2,317.2 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_14_สัน_80แกรม.pdf
15,665-711,291,80 แกรม,14.6,316.6 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_15_สัน_80แกรม.pdf
16,712-759,289,80 แกรม,14.5,316.5 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_16_สัน_80แกรม.pdf
17,760-806,267,80 แกรม,13.4,315.4 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_17_สัน_80แกรม.pdf
18,807-854,277,80 แกรม,13.9,315.9 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_18_สัน_80แกรม.pdf
19,855-901,276,80 แกรม,13.8,315.8 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_19_สัน_80แกรม.pdf
20,902-949,278,80 แกรม,13.9,315.9 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_20_สัน_80แกรม.pdf
21,950-996,272,80 แกรม,13.6,315.6 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_21_สัน_80แกรม.pdf
22,997-1044,285,80 แกรม,14.2,316.2 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_22_สัน_80แกรม.pdf
23,1045-1091,260,80 แกรม,13.0,315.0 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_23_สัน_80แกรม.pdf
24,1092-1138,267,80 แกรม,13.4,315.4 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_24_สัน_80แกรม.pdf
25,1139-1186,292,80 แกรม,14.6,316.6 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_25_สัน_80แกรม.pdf
26,1187-1233,279,80 แกรม,14.0,316.0 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_26_สัน_80แกรม.pdf
27,1234-1281,278,80 แกรม,13.9,315.9 x 216.0,ปกหุ้ม_Xian_Ni_เล่ม_27_สัน_80แกรม.pdf
